ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2017-07-01,,1,Rollout of release - Increased rollout of 1.18.5 to 50%
2017-03-15 - 2019-02-24,2017-07-02,,-
2017-03-15 - 2019-02-24,2017-07-03,,3
2017-03-15 - 2019-02-24,2017-07-04,,1
2017-03-15 - 2019-02-24,2017-07-05,,-
2017-03-15 - 2019-02-24,2017-07-06,,-
2017-03-15 - 2019-02-24,2017-07-07,,-,Rollout of release - Increased rollout of 1.18.5 to 100%
2017-03-15 - 2019-02-24,2017-07-08,,2,Rollout of release - Started rollout of 1.19.0 at 100%
2017-03-15 - 2019-02-24,2017-07-09,,3
2017-03-15 - 2019-02-24,2017-07-10,,1
2017-03-15 - 2019-02-24,2017-07-11,,4
2017-03-15 - 2019-02-24,2017-07-12,,8
2017-03-15 - 2019-02-24,2017-07-13,,4
2017-03-15 - 2019-02-24,2017-07-14,,1
2017-03-15 - 2019-02-24,2017-07-15,,5
2017-03-15 - 2019-02-24,2017-07-16,,2
2017-03-15 - 2019-02-24,2017-07-17,,2
2017-03-15 - 2019-02-24,2017-07-18,,5
2017-03-15 - 2019-02-24,2017-07-19,,2
2017-03-15 - 2019-02-24,2017-07-20,,3
2017-03-15 - 2019-02-24,2017-07-21,,4
2017-03-15 - 2019-02-24,2017-07-22,,3
2017-03-15 - 2019-02-24,2017-07-23,,2
2017-03-15 - 2019-02-24,2017-07-24,,2
2017-03-15 - 2019-02-24,2017-07-25,,2
2017-03-15 - 2019-02-24,2017-07-26,,1
2017-03-15 - 2019-02-24,2017-07-27,,2
2017-03-15 - 2019-02-24,2017-07-28,,2
2017-03-15 - 2019-02-24,2017-07-29,,3
2017-03-15 - 2019-02-24,2017-07-30,,5
2017-03-15 - 2019-02-24,2017-07-31,,2
2017-03-15 - 2019-02-24,2017-08-01,,2
2017-03-15 - 2019-02-24,2017-08-02,,2
2017-03-15 - 2019-02-24,2017-08-03,,2
2017-03-15 - 2019-02-24,2017-08-04,,10
2017-03-15 - 2019-02-24,2017-08-05,,-
2017-03-15 - 2019-02-24,2017-08-06,,-
2017-03-15 - 2019-02-24,2017-08-07,,5
2017-03-15 - 2019-02-24,2017-08-08,,3
2017-03-15 - 2019-02-24,2017-08-09,,1
2017-03-15 - 2019-02-24,2017-08-10,,5
2017-03-15 - 2019-02-24,2017-08-11,,3
2017-03-15 - 2019-02-24,2017-08-12,,1
2017-03-15 - 2019-02-24,2017-08-13,,6
2017-03-15 - 2019-02-24,2017-08-14,,2
2017-03-15 - 2019-02-24,2017-08-15,,4
2017-03-15 - 2019-02-24,2017-08-16,,7
2017-03-15 - 2019-02-24,2017-08-17,,6
2017-03-15 - 2019-02-24,2017-08-18,,5
2017-03-15 - 2019-02-24,2017-08-19,,3
2017-03-15 - 2019-02-24,2017-08-20,,1
2017-03-15 - 2019-02-24,2017-08-21,,2
2017-03-15 - 2019-02-24,2017-08-22,,-
2017-03-15 - 2019-02-24,2017-08-23,,1
2017-03-15 - 2019-02-24,2017-08-24,,3
2017-03-15 - 2019-02-24,2017-08-25,,4
2017-03-15 - 2019-02-24,2017-08-26,,2
2017-03-15 - 2019-02-24,2017-08-27,,1
2017-03-15 - 2019-02-24,2017-08-28,,1
2017-03-15 - 2019-02-24,2017-08-29,,2
2017-03-15 - 2019-02-24,2017-08-30,,-
2017-03-15 - 2019-02-24,2017-08-31,,-
2017-03-15 - 2019-02-24,2017-09-01,,4
2017-03-15 - 2019-02-24,2017-09-02,,-
2017-03-15 - 2019-02-24,2017-09-03,,2
2017-03-15 - 2019-02-24,2017-09-04,,8
2017-03-15 - 2019-02-24,2017-09-05,,-
2017-03-15 - 2019-02-24,2017-09-06,,2
2017-03-15 - 2019-02-24,2017-09-07,,1
2017-03-15 - 2019-02-24,2017-09-08,,-
2017-03-15 - 2019-02-24,2017-09-09,,1
2017-03-15 - 2019-02-24,2017-09-10,,1
2017-03-15 - 2019-02-24,2017-09-11,,-
2017-03-15 - 2019-02-24,2017-09-12,,-
2017-03-15 - 2019-02-24,2017-09-13,,6
2017-03-15 - 2019-02-24,2017-09-14,,4
2017-03-15 - 2019-02-24,2017-09-15,,4
2017-03-15 - 2019-02-24,2017-09-16,,2
2017-03-15 - 2019-02-24,2017-09-17,,3
2017-03-15 - 2019-02-24,2017-09-18,,3
2017-03-15 - 2019-02-24,2017-09-19,,4
2017-03-15 - 2019-02-24,2017-09-20,,2,Rollout of release - Started rollout of 1.20.0 at 5%
2017-03-15 - 2019-02-24,2017-09-21,,1
2017-03-15 - 2019-02-24,2017-09-22,,6,Rollout of release - Increased rollout of 1.20.0 to 50%
2017-03-15 - 2019-02-24,2017-09-23,,1
2017-03-15 - 2019-02-24,2017-09-24,,1
2017-03-15 - 2019-02-24,2017-09-25,,2
2017-03-15 - 2019-02-24,2017-09-26,,-
2017-03-15 - 2019-02-24,2017-09-27,,2
2017-03-15 - 2019-02-24,2017-09-28,,-
2017-03-15 - 2019-02-24,2017-09-29,,8
2017-03-15 - 2019-02-24,2017-09-30,,1,Rollout of release - Increased rollout of 1.20.0 to 100%
2017-03-15 - 2019-02-24,2017-10-01,,1,Rollout of release - Started rollout of 1.21.0 at 5%
2017-03-15 - 2019-02-24,2017-10-02,,-
2017-03-15 - 2019-02-24,2017-10-03,,1
2017-03-15 - 2019-02-24,2017-10-04,,1
2017-03-15 - 2019-02-24,2017-10-05,,-,Rollout of release - Increased rollout of 1.21.0 to 50%
2017-03-15 - 2019-02-24,2017-10-06,,-
2017-03-15 - 2019-02-24,2017-10-07,,1,Rollout of release - Increased rollout of 1.21.0 to 100%
2017-03-15 - 2019-02-24,2017-10-08,,6
2017-03-15 - 2019-02-24,2017-10-09,,1
2017-03-15 - 2019-02-24,2017-10-10,,2
2017-03-15 - 2019-02-24,2017-10-11,,2
2017-03-15 - 2019-02-24,2017-10-12,,4
2017-03-15 - 2019-02-24,2017-10-13,,1
2017-03-15 - 2019-02-24,2017-10-14,,2
2017-03-15 - 2019-02-24,2017-10-15,,1
2017-03-15 - 2019-02-24,2017-10-16,,4
2017-03-15 - 2019-02-24,2017-10-17,,2
2017-03-15 - 2019-02-24,2017-10-18,,-
2017-03-15 - 2019-02-24,2017-10-19,,12,"Rollout of release - Started rollout of 1.22.0 at 50%, Rollout of release - Halted rollout of 1.22.0, Rollout of release - Started rollout of 1.22.1 at 50%"
2017-03-15 - 2019-02-24,2017-10-20,,6
2017-03-15 - 2019-02-24,2017-10-21,,3,Rollout of release - Increased rollout of 1.22.1 to 100%
2017-03-15 - 2019-02-24,2017-10-22,,2
2017-03-15 - 2019-02-24,2017-10-23,,1
2017-03-15 - 2019-02-24,2017-10-24,,2
2017-03-15 - 2019-02-24,2017-10-25,,-
2017-03-15 - 2019-02-24,2017-10-26,,1
2017-03-15 - 2019-02-24,2017-10-27,,1
2017-03-15 - 2019-02-24,2017-10-28,,-
2017-03-15 - 2019-02-24,2017-10-29,,1
